company,item,calories,calories_from_fat,total_fat_g,sat_fat_g,trans_fat_g,cholesterol_mg,sodium_mg,carbs_g,fiber_g,sugars_g,protein_g,weight_watchers_pnts,serving_size_g,all_nutrients_zero,macro_calories,macro_calorie_gap,pct_protein_cal,pct_carb_cal,pct_fat_cal,protein_g_per_100kcal,carbs_g_per_100kcal,total_fat_g_per_100kcal,fiber_g_per_100kcal,sodium_mg_per_100kcal,healthy_rule_v1,category
McDonald’s,Premium Crispy Chicken Ranch BLT Sandwich,540.0,210.0,23.0,4.5,0.0,55.0,1160.0,56.0,3.0,11.0,27.0,528.5,,0,539.0,1.0,20.04,41.56,38.4,5.0,10.37,4.259,0.556,214.815,0,sandwich
McDonald’s,Southern Style Crispy Chicken Sandwich,400.0,150.0,17.0,3.0,0.0,45.0,1030.0,39.0,1.0,6.0,24.0,385.0,,0,405.0,-5.0,23.7,38.52,37.78,6.0,9.75,4.25,0.25,257.5,0,sandwich
McDonald’s,Ranch Snack Wrap® (Crispy),340.0,150.0,17.0,4.5,0.0,30.0,810.0,33.0,1.0,2.0,14.0,332.5,,0,341.0,-1.0,16.42,38.71,44.87,4.118,9.706,5.0,0.294,238.235,0,wrap
McDonald’s,Ranch Snack Wrap® (Grilled),270.0,90.0,10.0,4.0,0.0,45.0,830.0,26.0,1.0,2.0,18.0,258.0,,0,266.0,4.0,27.07,39.1,33.83,6.667,9.63,3.704,0.37,307.407,0,wrap
McDonald’s,Honey Mustard Snack Wrap® (Crispy),330.0,140.0,16.0,4.5,0.0,30.0,780.0,34.0,1.0,4.0,14.0,324.5,,0,336.0,-6.0,16.67,40.48,42.86,4.242,10.303,4.848,0.303,236.364,0,wrap
McDonald’s,Honey Mustard Snack Wrap® (Grilled),260.0,80.0,9.0,3.5,0.0,45.0,800.0,27.0,1.0,4.0,18.0,249.5,,0,261.0,-1.0,27.59,41.38,31.03,6.923,10.385,3.462,0.385,307.692,0,wrap
McDonald’s,Chipotle BBQ Snack Wrap® (Crispy),330.0,140.0,15.0,4.5,0.0,30.0,810.0,35.0,1.0,4.0,14.0,324.5,,0,331.0,-1.0,16.92,42.3,40.79,4.242,10.606,4.545,0.303,245.455,0,wrap
McDonald’s,Chipotle BBQ Snack Wrap® (Grilled),260.0,80.0,9.0,3.5,0.0,45.0,830.0,28.0,1.0,5.0,18.0,250.5,,0,265.0,-5.0,27.17,42.26,30.57,6.923,10.769,3.462,0.385,319.231,0,wrap
McDonald’s,Angus Bacon & Cheese Snack Wrap,390.0,190.0,21.0,9.0,1.0,75.0,1080.0,28.0,1.0,4.0,21.0,382.0,,0,385.0,5.0,21.82,29.09,49.09,5.385,7.179,5.385,0.256,276.923,0,wrap
McDonald’s,Angus Chipotle BBQ Bacon,800.0,350.0,39.0,18.0,2.0,145.0,2020.0,66.0,4.0,16.0,45.0,789.0,,0,795.0,5.0,22.64,33.21,44.15,5.625,8.25,4.875,0.5,252.5,0,other
McDonald’s,Angus Chipotle BBQ Bacon Snack Wrap,400.0,190.0,22.0,10.0,1.0,75.0,1060.0,30.0,1.0,6.0,21.0,395.0,,0,402.0,-2.0,20.9,29.85,49.25,5.25,7.5,5.5,0.25,265.0,0,wrap
McDonald’s,Angus Deluxe Snack Wrap,410.0,220.0,25.0,10.0,1.5,75.0,990.0,27.0,2.0,3.0,20.0,403.0,,0,413.0,-3.0,19.37,26.15,54.48,4.878,6.585,6.098,0.488,241.463,0,wrap
McDonald’s,Angus Mushroom & Swiss Snack Wrap,430.0,230.0,26.0,10.0,1.5,75.0,730.0,27.0,2.0,2.0,22.0,420.0,,0,430.0,0.0,20.47,25.12,54.42,5.116,6.279,6.047,0.465,169.767,0,wrap
McDonald’s,Mac Snack Wrap,330.0,170.0,19.0,7.0,1.0,45.0,690.0,26.0,1.0,3.0,15.0,325.0,,0,335.0,-5.0,17.91,31.04,51.04,4.545,7.879,5.758,0.303,209.091,0,wrap
McDonald’s,Small French Fries,230.0,100.0,11.0,1.5,0.0,0.0,160.0,29.0,3.0,0.0,3.0,228.5,,0,227.0,3.0,5.29,51.1,43.61,1.304,12.609,4.783,1.304,69.565,1,sides
McDonald’s,Medium French Fries,380.0,170.0,19.0,2.5,0.0,0.0,270.0,48.0,5.0,0.0,4.0,378.5,,0,379.0,1.0,4.22,50.66,45.12,1.053,12.632,5.0,1.316,71.053,1,sides
McDonald’s,Large French Fries,500.0,220.0,25.0,3.5,0.0,0.0,350.0,63.0,6.0,0.0,6.0,497.5,,0,501.0,-1.0,4.79,50.3,44.91,1.2,12.6,5.0,1.2,70.0,0,sides
McDonald’s,Ketchup Packet,15.0,0.0,0.0,0.0,0.0,0.0,110.0,3.0,0.0,2.0,0.0,17.0,,0,12.0,3.0,0.0,100.0,0.0,0.0,20.0,0.0,0.0,733.333,1,other
McDonald’s,Salt Packet,0.0,0.0,0.0,0.0,0.0,0.0,270.0,0.0,0.0,0.0,0.0,0.0,,0,0.0,0.0,,,,,,,,,1,other
McDonald’s,Chicken McNuggets® (4 piece),190.0,110.0,12.0,2.0,0.0,25.0,360.0,12.0,1.0,0.0,9.0,183.0,,0,192.0,-2.0,18.75,25.0,56.25,4.737,6.316,6.316,0.526,189.474,1,chicken
McDonald’s,Chicken McNuggets® (6 piece),280.0,160.0,18.0,3.0,0.0,40.0,540.0,18.0,1.0,0.0,13.0,270.0,,0,286.0,-6.0,18.18,25.17,56.64,4.643,6.429,6.429,0.357,192.857,1,chicken
McDonald’s,Chicken McNuggets® (10 piece),470.0,270.0,30.0,5.0,0.0,65.0,900.0,30.0,2.0,0.0,22.0,453.0,,0,478.0,-8.0,18.41,25.1,56.49,4.681,6.383,6.383,0.426,191.489,0,chicken
McDonald’s,Barbeque Sauce,50.0,0.0,0.0,0.0,0.0,0.0,260.0,12.0,0.0,10.0,0.0,60.0,,0,48.0,2.0,0.0,100.0,0.0,0.0,24.0,0.0,0.0,520.0,1,other
